urn:cts:greekLit:tlg5026.msA.hmt:1.560	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.560	urn:cite:hmt:pers.pers69
urn:cts:greekLit:tlg5026.msA.hmt:1.561	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.561	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers59
urn:cts:greekLit:tlg5026.msA.hmt:1.562	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.563	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.563	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.594	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.594	urn:cite:hmt:pers.pers134
urn:cts:greekLit:tlg5026.msA.hmt:1.596	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.597	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.597	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.598	urn:cite:hmt:pers.pers98
urn:cts:greekLit:tlg5026.msA.hmt:1.598	urn:cite:hmt:pers.pers136
urn:cts:greekLit:tlg5026.msA.hmt:1.599	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.599	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.601	urn:cite:hmt:pers.pers98
urn:cts:greekLit:tlg5026.msA.hmt:1.602	129
urn:cts:greekLit:tlg5026.msA.hmt:1.602	urn:cite:hmt:pers.pers59
urn:cts:greekLit:tlg5026.msA.hmt:1.603	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.604	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.608	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.608	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.608	urn:cite:hmt:pers.pers137
urn:cts:greekLit:tlg5026.msA.hmt:1.608	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.608	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.609	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.610	urn:cite:hmt:pers.pers138
urn:cts:greekLit:tlg5026.msA.hmt:1.610	urn:cite:hmt:pers.pers4
